CDF,DateSolde,Solde
38801,2020-04-02,-522262.46
39101,2020-04-02,-758299.39
40001,2020-04-02,-1453278.79
40002,2020-04-02,-579480.33
40003,2020-04-02,-630896.76
40004,2020-04-02,-448542.34
40007,2020-04-02,-51408.44
40009,2020-04-02,-762927.71
40010,2020-04-02,-285615.09
40501,2020-04-02,-217077.88
41101,2020-04-02,-42536.52
41102,2020-04-02,-339495.38
42001,2020-04-02,-630507.19
42501,2020-04-02,-315719.13
42502,2020-04-02,-650583.84
43001,2020-04-02,-900343.97
43002,2020-04-02,-1189531.37
43003,2020-04-02,-406396.15
43004,2020-04-02,-395957.48
43005,2020-04-02,-1883242.08
43006,2020-04-02,-1908857.05
43007,2020-04-02,-910699.46
45001,2020-04-02,-219244.85
45002,2020-04-02,-545697.92
45003,2020-04-02,-621804.2
45004,2020-04-02,-928537.36
45005,2020-04-02,-455186.02
45006,2020-04-02,-171494.58
45007,2020-04-02,-595438.91
45008,2020-04-02,-785280.86
45009,2020-04-02,-688900.99
45010,2020-04-02,-262068.51
45011,2020-04-02,-718049.39
45012,2020-04-02,-3518036.32
45013,2020-04-02,-728324.83
45014,2020-04-02,-669824.29
45015,2020-04-02,-1096705.88
45016,2020-04-02,-735873.09
45017,2020-04-02,-726207.77
45018,2020-04-02,-760420.3
45019,2020-04-02,-786081.39
45020,2020-04-02,-396074.95
45021,2020-04-02,-264414.57
45022,2020-04-02,-1202287.23
45023,2020-04-02,-371374.12
45025,2020-04-02,-826739.39
45026,2020-04-02,-522377.34
45029,2020-04-02,-19892.23
45032,2020-04-02,-1136464.82
45037,2020-04-02,-463690.29
45038,2020-04-02,-719611.86
45039,2020-04-02,-281460.86
45040,2020-04-02,-621994.58
45041,2020-04-02,-326982.08
45043,2020-04-02,-274950.84
45044,2020-04-02,-395548.95
45045,2020-04-02,-65403.32
45046,2020-04-02,-279509.9
46501,2020-04-02,-53147.81
47101,2020-04-02,-295847.08
48001,2020-04-02,-2344294.97
48002,2020-04-02,-857976.59
48003,2020-04-02,-1115527.7
48004,2020-04-02,-1001819.79
48005,2020-04-02,-207887.85
48006,2020-04-02,-718476.93
48007,2020-04-02,-371407.91
48008,2020-04-02,-257356.66
48009,2020-04-02,-143956.91
48010,2020-04-02,-594316.43
48011,2020-04-02,-1536809.59
48012,2020-04-02,-1611471.16
48013,2020-04-02,-551972.51
48014,2020-04-02,-501351.62
48015,2020-04-02,-185057.35
48016,2020-04-02,-408747.39
48018,2020-04-02,-613762.04
48020,2020-04-02,-538615.35
48021,2020-04-02,-2201260.7
48101,2020-04-02,-520358.96
49101,2020-04-02,-578625.15
49201,2020-04-02,-609514.28
50001,2020-04-02,-930050.38
50002,2020-04-02,-899035.57
50003,2020-04-02,-201679.71
50004,2020-04-02,-825738.72
50005,2020-04-02,-588305.34
50006,2020-04-02,-622002.29
50009,2020-04-02,-365470.66
50010,2020-04-02,-494282.41
50011,2020-04-02,-247782.54
50012,2020-04-02,-456857.81
50101,2020-04-02,-290327.48
50201,2020-04-02,-242536.01
50301,2020-04-02,-150661.73
50401,2020-04-02,-149241.18
50701,2020-04-02,-457381.31
51101,2020-04-02,-877078.75
51102,2020-04-02,-388118.96
51201,2020-04-02,-839121.26
51501,2020-04-02,-811274.31
51502,2020-04-02,-281919.61
51901,2020-04-02,-567501.72
52301,2020-04-02,-246437.25
52401,2020-04-02,-544763.86
52501,2020-04-02,-585068.16
53001,2020-04-02,-5845301.71
53002,2020-04-02,-1875017.49
53004,2020-04-02,-2248235.04
55001,2020-04-02,-905491.92
55002,2020-04-02,-758567.76
55601,2020-04-02,-273480.6
55901,2020-04-02,-74239.27
56501,2020-04-02,-85072.28
57001,2020-04-02,-1289953.27
57002,2020-04-02,-895114.25
57003,2020-04-02,-1140571.41
57004,2020-04-02,-335928.14
57005,2020-04-02,-512138.25
57006,2020-04-02,-371635.92
57007,2020-04-02,-432429.75
57008,2020-04-02,-1748377.63
57009,2020-04-02,-241366.51
57010,2020-04-02,-180767.88
57011,2020-04-02,-159884.25
57014,2020-04-02,-127416.82
57016,2020-04-02,-518013.55
57501,2020-04-02,-1672866.67
57502,2020-04-02,-1311700.95
57506,2020-04-02,-225917.71
57601,2020-04-02,-459668.56
57901,2020-04-02,-274870.57
58201,2020-04-02,-792625.64
58501,2020-04-02,-764807.62
58502,2020-04-02,-241210.53
58701,2020-04-02,-332113.25
59001,2020-04-02,-781265.05
59002,2020-04-02,-632107.46
59003,2020-04-02,-454885.48
59004,2020-04-02,-87016.02
59005,2020-04-02,-756265.22
59006,2020-04-02,-291197.46
59007,2020-04-02,-363269.87
59009,2020-04-02,-121399.54
59011,2020-04-02,-832364.26
59012,2020-04-02,-523720.34
60701,2020-04-02,-3260142.76
60702,2020-04-02,-1057867.85
61001,2020-04-02,-768880.19
61002,2020-04-02,-168888.61
61003,2020-04-02,-184230.7
61004,2020-04-02,-59503.56
61501,2020-04-02,-1077146.58
61902,2020-04-02,-408858.57
62001,2020-04-02,-476501.35
62101,2020-04-02,-535553.99
62102,2020-04-02,-371691.08
62103,2020-04-02,-483018.44
62104,2020-04-02,-653760.94
62105,2020-04-02,-1084546.84
62108,2020-04-02,-125393.0
62201,2020-04-02,-617434.79
62501,2020-04-02,-506452.0
62601,2020-04-02,-490666.1
62901,2020-04-02,-409414.57
64001,2020-04-02,-2271221.49
64002,2020-04-02,-182280.42
64003,2020-04-02,-2037115.47
64005,2020-04-02,-208239.58
64006,2020-04-02,-34840.42
64007,2020-04-02,-791984.37
64008,2020-04-02,-554775.52
64009,2020-04-02,-304250.58
64010,2020-04-02,-650931.12
64011,2020-04-02,-1057354.95
64012,2020-04-02,-942027.73
64013,2020-04-02,-127523.95
64014,2020-04-02,-465372.78
64015,2020-04-02,-521552.82
64016,2020-04-02,-707957.47
64017,2020-04-02,-308104.4
64018,2020-04-02,-451485.34
64019,2020-04-02,-290218.04
64020,2020-04-02,-266047.07
64021,2020-04-02,-394333.61
64022,2020-04-02,-760342.27
64023,2020-04-02,-708535.84
64024,2020-04-02,-554994.96
64025,2020-04-02,-649017.88
64026,2020-04-02,-787695.7
64027,2020-04-02,-285212.12
64028,2020-04-02,-806820.32
64030,2020-04-02,-200362.61
64031,2020-04-02,-420233.2
64032,2020-04-02,-37765.04
64033,2020-04-02,-218442.53
64035,2020-04-02,-651449.65
64036,2020-04-02,-1178591.7
64037,2020-04-02,-1087709.03
64301,2020-04-02,-602600.81
64302,2020-04-02,-117221.8
65001,2020-04-02,-2175093.01
65002,2020-04-02,-448148.47
66001,2020-04-02,-1069558.03
66501,2020-04-02,-1240620.07
69001,2020-04-02,-391782.78
69002,2020-04-02,-556023.19
69004,2020-04-02,-984249.39
69005,2020-04-02,-155607.54
69006,2020-04-02,-219767.76
69007,2020-04-02,-605972.59
69501,2020-04-02,-871644.87
69601,2020-04-02,-285977.8
70301,2020-04-02,-529758.48
70302,2020-04-02,-43370.1
72001,2020-04-02,-810206.21
